response_id,date,age_group,gender,purchase_frequency,flavor_satisfaction,sweetness_satisfaction,price_satisfaction,packaging_satisfaction,overall_satisfaction,repurchase_intent,recommend_score,open_feedback
R001,2026-04-28,23-29,女,每週1-2次,2,2,4,4,3,可能會,5,甜度剛好，接受度高
R002,2026-04-23,19-22,女,每週3次以上,4,3,3,3,3,可能會,5,價格略高，若有優惠會回購
R003,2026-04-09,19-22,女,幾乎不買,3,5,2,4,4,會,8,水果香氣不錯，冰飲更好喝
R004,2026-04-10,30-39,男,每週1-2次,5,4,5,5,5,會,10,希望推出無糖版本
R005,2026-04-14,23-29,女,每週1-2次,3,4,2,5,4,會,8,整體不錯，但希望容量再大一點
R006,2026-04-14,19-22,女,每月2-3次,3,4,5,4,4,會,8,價格略高，若有優惠會回購
R007,2026-04-16,19-22,男,每月2-3次,3,2,2,2,2,不會,4,水果香氣不錯，冰飲更好喝
R008,2026-04-20,15-18,男,每週1-2次,4,5,4,5,4,會,8,包裝設計有質感但價格可再親民
R009,2026-04-26,19-22,男,每週1-2次,5,4,3,4,4,會,9,口味清爽，夏天會想再買
R010,2026-04-11,30-39,女,每週3次以上,3,5,4,5,4,會,8,口味清爽，夏天會想再買
R011,2026-04-14,23-29,女,每月2-3次,5,4,5,5,5,會,10,口味清爽，夏天會想再買
R012,2026-04-17,40+,男,每週1-2次,4,3,4,4,4,會,8,包裝設計有質感但價格可再親民
R013,2026-04-19,23-29,男,每週1-2次,2,3,1,1,2,不會,4,希望推出無糖版本
R014,2026-04-13,15-18,男,幾乎不買,4,2,4,3,3,可能會,6,香氣不錯但後味稍甜
R015,2026-04-12,19-22,女,每週1-2次,5,5,5,5,5,會,10,喝起來順口，適合日常搭餐
R016,2026-04-21,19-22,女,每週1-2次,4,4,2,3,3,可能會,5,甜度剛好，接受度高
R017,2026-04-21,40+,男,每週3次以上,4,3,4,3,4,會,9,喝起來順口，適合日常搭餐
R018,2026-04-27,30-39,女,每週3次以上,5,5,4,3,4,會,7,價格略高，若有優惠會回購
R019,2026-04-14,30-39,男,每週3次以上,4,3,3,3,3,可能會,6,希望推出無糖版本
R020,2026-04-21,30-39,女,每月2-3次,4,4,5,4,4,會,7,包裝設計有質感但價格可再親民
R021,2026-04-14,19-22,女,每月2-3次,5,5,3,5,4,會,8,水果香氣不錯，冰飲更好喝
R022,2026-04-27,23-29,男,幾乎不買,5,4,3,4,4,會,8,會推薦給朋友嘗鮮
R023,2026-04-26,30-39,女,每週1-2次,4,3,1,2,2,不會,4,會推薦給朋友嘗鮮
R024,2026-04-10,15-18,男,每週1-2次,5,4,5,4,4,會,9,會推薦給朋友嘗鮮
R025,2026-04-14,23-29,男,每週3次以上,4,4,4,4,4,會,8,整體不錯，但希望容量再大一點
R026,2026-04-24,40+,男,每週3次以上,3,3,5,4,4,會,8,整體不錯，但希望容量再大一點
R027,2026-04-24,30-39,男,每週1-2次,3,2,4,3,3,可能會,5,水果香氣不錯，冰飲更好喝
R028,2026-04-20,19-22,女,每週1-2次,3,3,2,3,3,可能會,7,口味清爽，夏天會想再買
R029,2026-04-11,19-22,女,每週1-2次,2,2,1,3,2,不會,5,口味清爽，夏天會想再買
R030,2026-04-24,19-22,男,每月2-3次,2,3,4,3,3,可能會,7,口味清爽，夏天會想再買
R031,2026-04-11,19-22,男,每月2-3次,5,5,4,4,4,會,8,價格略高，若有優惠會回購
R032,2026-04-18,40+,男,幾乎不買,3,3,3,2,3,可能會,6,價格略高，若有優惠會回購
R033,2026-04-22,30-39,男,每月2-3次,2,4,1,4,3,可能會,6,喝起來順口，適合日常搭餐
R034,2026-04-20,19-22,男,每月2-3次,3,4,3,3,3,可能會,5,整體不錯，但希望容量再大一點
R035,2026-04-27,23-29,女,幾乎不買,3,3,4,4,4,會,8,甜度剛好，接受度高
R036,2026-04-27,23-29,女,每月2-3次,3,5,5,4,4,會,8,價格略高，若有優惠會回購
R037,2026-04-09,15-18,男,每週1-2次,4,4,4,3,4,會,8,整體不錯，但希望容量再大一點
